Scenario,Region,Variable,2020,2025,2030,2035,2040,2045,2050
NDC_EI_CoC,Africa_Eastern,electricity_price,0.140012,0.134071,0.134147,0.141643,0.139086,0.135068,0.130981
NDC_EI_CoC,Africa_Northern,electricity_price,0.120972,0.120036,0.116152,0.115801,0.115222,0.113461,0.112227
NDC_EI_CoC,Africa_Southern,electricity_price,0.170442,0.196788,0.205562,0.202599,0.201002,0.198973,0.188995
NDC_EI_CoC,Africa_Western,electricity_price,0.121633,0.132607,0.130373,0.140025,0.147153,0.150683,0.149751
NDC_EI_CoC,Argentina,electricity_price,0.131026,0.140548,0.140118,0.143384,0.145293,0.147664,0.147368
NDC_EI_CoC,Australia_NZ,electricity_price,0.07819,0.083468,0.109077,0.110578,0.103868,0.107502,0.108714
NDC_EI_CoC,Brazil,electricity_price,0.099524,0.039405,0.064798,0.075973,0.087324,0.090646,0.092503
NDC_EI_CoC,Canada,electricity_price,0.093255,0.089911,0.084172,0.084125,0.090555,0.09166,0.091243
NDC_EI_CoC,Central America and Caribbean,electricity_price,0.12492,0.149536,0.142307,0.140907,0.142683,0.139373,0.133307
NDC_EI_CoC,Central Asia,electricity_price,0.093709,0.10205,0.104631,0.118025,0.120329,0.122624,0.123954
NDC_EI_CoC,China,electricity_price,0.068038,0.060095,0.065734,0.074662,0.082438,0.094662,0.098442
NDC_EI_CoC,Colombia,electricity_price,0.106012,0.132603,0.138735,0.146226,0.119931,0.118464,0.114789
NDC_EI_CoC,EU-12,electricity_price,0.076364,0.058783,0.076109,0.1177,0.122574,0.121965,0.112655
NDC_EI_CoC,EU-15,electricity_price,0.073397,0.0511,0.039903,0.082717,0.098824,0.09839,0.086939
NDC_EI_CoC,Europe_Eastern,electricity_price,0.119326,0.125507,0.120248,0.11019,0.109387,0.110396,0.110473
NDC_EI_CoC,Europe_Non_EU,electricity_price,0.080408,0.086701,0.081765,0.078819,-0.02619,0.11082,0.118106
NDC_EI_CoC,European Free Trade Association,electricity_price,0.094469,0.098428,0.094587,0.098831,0.100131,0.098121,0.095463
NDC_EI_CoC,India,electricity_price,0.069238,0.071958,0.071853,0.082799,0.084734,0.091332,0.096856
NDC_EI_CoC,Indonesia,electricity_price,0.059962,0.056493,0.069128,0.074462,0.07795,0.089719,0.090332
